info  2021-04-19T22:28:36.105 nodeos    chain_plugin.cpp:628          plugin_initialize    ] initializing chain plugin
info  2021-04-19T22:28:36.106 nodeos    chain_plugin.cpp:459          operator()           ] Support for builtin protocol feature 'PREACTIVATE_FEATURE' (with digest of '0ec7e080177b2c02b278d5088611686b49d739925a92d9bfcacd7fc6b74053bd') is enabled without activation restrictions
info  2021-04-19T22:28:36.106 nodeos    chain_plugin.cpp:446          operator()           ] Support for builtin protocol feature 'ONLY_LINK_TO_EXISTING_PERMISSION' (with digest of '1a99a59d87e06e09ec5b028a9cbb7749b4a5ad8819004365d02dc4379a8b7241') is enabled with preactivation required
info  2021-04-19T22:28:36.106 nodeos    chain_plugin.cpp:446          operator()           ] Support for builtin protocol feature 'FORWARD_SETCODE' (with digest of '2652f5f96006294109b3dd0bbde63693f55324af452b799ee137a81a905eed25') is enabled with preactivation required
info  2021-04-19T22:28:36.106 nodeos    chain_plugin.cpp:446          operator()           ] Support for builtin protocol feature 'WTMSIG_BLOCK_SIGNATURES' (with digest of '299dcb6af692324b899b39f16d5a530a33062804e41f09dc97e9f156b4476707') is enabled with preactivation required
info  2021-04-19T22:28:36.106 nodeos    chain_plugin.cpp:446          operator()           ] Support for builtin protocol feature 'REPLACE_DEFERRED' (with digest of 'ef43112c6543b88db2283a2e077278c315ae2c84719a8b25f25cc88565fbea99') is enabled with preactivation required
info  2021-04-19T22:28:36.106 nodeos    chain_plugin.cpp:446          operator()           ] Support for builtin protocol feature 'NO_DUPLICATE_DEFERRED_ID' (with digest of '4a90c00d55454dc5b059055ca213579c6ea856967712a56017487886a4d4cc0f') is enabled with preactivation required
info  2021-04-19T22:28:36.106 nodeos    chain_plugin.cpp:446          operator()           ] Support for builtin protocol feature 'RAM_RESTRICTIONS' (with digest of '4e7bf348da00a945489b2a681749eb56f5de00b900014e137ddae39f48f69d67') is enabled with preactivation required
info  2021-04-19T22:28:36.106 nodeos    chain_plugin.cpp:446          operator()           ] Support for builtin protocol feature 'WEBAUTHN_KEY' (with digest of '4fca8bd82bbd181e714e283f83e1b45d95ca5af40fb89ad3977b653c448f78c2') is enabled with preactivation required
info  2021-04-19T22:28:36.106 nodeos    chain_plugin.cpp:446          operator()           ] Support for builtin protocol feature 'DISALLOW_EMPTY_PRODUCER_SCHEDULE' (with digest of '68dcaa34c0517d19666e6b33add67351d8c5f69e999ca1e37931bc410a297428') is enabled with preactivation required
info  2021-04-19T22:28:36.106 nodeos    chain_plugin.cpp:446          operator()           ] Support for builtin protocol feature 'ONLY_BILL_FIRST_AUTHORIZER' (with digest of '8ba52fe7a3956c5cd3a656a3174b931d3bb2abb45578befc59f283ecd816a405') is enabled with preactivation required
info  2021-04-19T22:28:36.106 nodeos    chain_plugin.cpp:446          operator()           ] Support for builtin protocol feature 'RESTRICT_ACTION_TO_SELF' (with digest of 'ad9e3d8f650687709fd68f4b90b41f7d825a365b02c23a636cef88ac2ac00c43') is enabled with preactivation required
info  2021-04-19T22:28:36.106 nodeos    chain_plugin.cpp:446          operator()           ] Support for builtin protocol feature 'FIX_LINKAUTH_RESTRICTION' (with digest of 'e0fb64b1085cc5538970158d05a009c24e276fb94e1a0bf6a528b48fbc4ff526') is enabled with preactivation required
info  2021-04-19T22:28:36.106 nodeos    chain_plugin.cpp:446          operator()           ] Support for builtin protocol feature 'GET_SENDER' (with digest of 'f0af56d2c5a48d60a4a5b5c903edfb7db3a736a94ed589d0b797df33ff9d3e1d') is enabled with preactivation required
info  2021-04-19T22:28:36.106 nodeos    chain_plugin.cpp:830          plugin_initialize    ] Deleting state database and blocks
info  2021-04-19T22:28:36.108 nodeos    chain_plugin.cpp:1025         plugin_initialize    ] Starting fresh blockchain state using default genesis state.
info  2021-04-19T22:28:36.695 nodeos    platform_timer_accurac:62     compute_and_print_ti ] Checktime timer accuracy: min:1us max:38us mean:5us stddev:4us
info  2021-04-19T22:28:36.696 nodeos    http_plugin.cpp:742           plugin_initialize    ] configured http to listen on 127.0.0.1:8888
warn  2021-04-19T22:28:36.696 nodeos    history_plugin.cpp:317        plugin_initialize    ] --filter-on * enabled. This can fill shared_mem, causing nodeos to stop.
info  2021-04-19T22:28:36.696 nodeos    main.cpp:106                  main                 ] nodeos version v2.0.11 v2.0.11-934d9d62368a172445db03c51e52a23c09757e4a
info  2021-04-19T22:28:36.696 nodeos    main.cpp:107                  main                 ] nodeos using configuration file /.local/share/eosio/nodeos/config/config.ini
info  2021-04-19T22:28:36.696 nodeos    main.cpp:108                  main                 ] nodeos data directory is /.local/share/eosio/nodeos/data
warn  2021-04-19T22:28:36.696 nodeos    controller.cpp:580            startup              ] No existing chain state or fork database. Initializing fresh blockchain state and resetting fork database.
warn  2021-04-19T22:28:36.696 nodeos    controller.cpp:450            initialize_blockchai ] Initializing new blockchain with genesis state
info  2021-04-19T22:28:36.733 nodeos    chain_plugin.cpp:1166         plugin_startup       ] starting chain in read/write mode
info  2021-04-19T22:28:36.733 nodeos    chain_plugin.cpp:1171         plugin_startup       ] Blockchain started; head block is #1, genesis timestamp is 2018-06-01T12:00:00.000
info  2021-04-19T22:28:36.733 nodeos    producer_plugin.cpp:969       plugin_startup       ] producer plugin:  plugin_startup() begin
info  2021-04-19T22:28:36.733 nodeos    producer_plugin.cpp:994       plugin_startup       ] Launching block production for 1 producers at 2021-04-19T22:28:36.733.
info  2021-04-19T22:28:36.733 nodeos    producer_plugin.cpp:1005      plugin_startup       ] producer plugin:  plugin_startup() end
info  2021-04-19T22:28:36.734 nodeos    producer_api_plugin.cp:89     plugin_startup       ] starting producer_api_plugin
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/add_greylist_accounts
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/create_snapshot
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/get_account_ram_corrections
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/get_greylist
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/get_integrity_hash
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/get_runtime_options
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/get_scheduled_protocol_feature_activations
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/get_supported_protocol_features
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/get_whitelist_blacklist
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/pause
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/paused
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/remove_greylist_accounts
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/resume
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/schedule_protocol_feature_activations
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/set_whitelist_blacklist
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/producer/update_runtime_options
info  2021-04-19T22:28:36.734 nodeos    chain_api_plugin.cpp:105      plugin_startup       ] starting chain_api_plugin
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_info
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/abi_bin_to_json
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/abi_json_to_bin
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_abi
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_account
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_activated_protocol_features
info  2021-04-19T22:28:36.734 nodeos    http_plugin.cpp:927           add_handler          ] add api url: /v1/chain/get_block
